soil type: sandy loam ,Allowable Depletion(AD) = 0.9 inches,0.90,,soil depth,15,FC,0.21,PWP,0.09
Day,Rainfall,Irrigation,Etc,Soil moisture,Total available water,Daily Balance (DB),Allowable Depletion balance (ADB),,
0,,,,,,,0.3,,
1,0.00,0.00,0.19,0.13,0.60,-0.19,0.11,,
2,0.00,0.00,0.23,0.13,0.60,-0.23,-0.12,,
3,0.00,0.00,0.26,0.12,0.45,-0.26,-0.38,,
4,0.00,0.00,0.25,0.10,0.15,-0.25,-0.63,,
5,0.00,0.00,0.24,0.10,0.15,-0.24,-0.87,,
6,0.00,0.00,0.23,0.10,0.15,-0.23,-1.10,,
7,1.75,0.00,0.22,0.16,1.05,1.53,1.40,* if DB is grater than DB ( estimated for crop and soil type) then add only that of the daily balance needed to bring the previous day ADB to the AD value of crop/soil system,
8,0.00,0.00,0.21,0.16,1.05,-0.21,1.19,,
9,0.00,0.00,0.20,0.18,1.35,-0.20,0.99,,
Calibrate,,,,,,,0.45,,
10,0.00,0.00,0.19,0.15,0.90,-0.19,0.26,,
11,1.00,0.00,0.18,0.20,1.65,0.82,1.08,,
12,0.00,0.00,0.17,0.20,1.65,-0.17,0.91,,
13,0.00,1.25,0.24,0.19,1.50,1.01,0.90,*,
14,0.00,0.00,0.19,0.18,1.35,-0.19,0.71,,
15,0.00,0.00,0.23,0.17,1.20,-0.23,0.48,,
16,0.00,0.00,0.21,0.16,1.05,-0.21,0.27,,
17,0.00,0.85,0.21,0.15,0.90,0.65,0.92,,
18,0.00,0.00,0.30,0.19,1.50,-0.30,0.62,,
19,0.00,0.00,0.24,0.19,1.50,-0.24,0.38,,
Calibrate,,,,,,,0.75,,
20,0.00,0.00,0.18,0.19,1.50,-0.18,0.57,,
21,0.00,0.00,0.12,0.11,0.30,-0.12,0.45,,
22,0.50,0.00,0.24,0.20,1.65,0.26,0.71,,
23,1.25,0.00,0.23,0.20,1.65,1.02,0.19,*,
24,0.00,0.00,0.22,0.19,1.50,-0.22,-0.03,,
25,0.00,0.00,0.21,0.18,1.35,-0.21,-0.24,,
26,0.00,0.00,0.20,0.17,1.20,-0.20,-0.44,,
27,0.00,0.00,0.19,0.16,1.05,-0.19,-0.63,,
28,0.00,0.00,0.18,0.15,0.90,-0.18,-0.81,,
29,0.00,0.00,0.17,0.14,0.75,-0.17,-0.98,,